,,,,,,,Electron Removal Energies (Ionization Potentials) of Atoms and Atomic Ions (eV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic #,Element,Symbol,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
46,Palladium,Pd,,0.5621400,8.3369,19.43,32.93,46,61,84.1,101,120,141,160,238.57,260,286,311,342,369.1,427,458,810,869,933,1000,1065,1145,1218,1290,1366,1438,1644,1706.2,1781.3,1869,1962,2016,2181,2248.867,5284,5475,5683,5880,6242,6469,6759,6943.096,28776.033,29622.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Silver,Ag,,1.3044700,7.57623,21.47746,34.83,49,65,82,106,125,145,167,188,271.46,294,321,347,381,408.43,469,500.87,885,946,1013,1082,1149,1231,1308,1382,1460,1535,1747,1810.5,1888,1979,2077,2131,2302,2371.989,5558,5753,5966,6170,6551,6784,7082,7271.297,30097.317,30965.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Cadmium,Cd,,0.0000000,8.99382,16.90831,37.48,51,67.9,87,105,130.1,150,173,195,218,305,329,358,385,421,452.55,513,546.19,963,1026,1095,1167,1237,1320,1400,1477,1558,1635,1852,1917.9,1997.9,2091,2195,2250,2427,2498.615,5839,6039,6257,6460,6870,7109,7414,7607.945,31451.06,32341.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Indium,In,,0.3839200,5.78636,18.8703,28.03,54,69.3,90,109,130.1,156,178,201,226,249,341,368,396,425,462,497.11,560,593.38,1043,1109,1181,1255,1328,1413,1496,1575,1659,1738,1961,2028.5,2111,2207,2317,2373,2555,2628.774,6126,6331,6554,6770,7196,7442,7754,7953.137,32837.59,33750.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Tin,Sn,,1.1120700,7.34392,14.6322,30.5026,40.73502,72.28,94,112.9,135,156,184,208,232,258,282,379,407,437,466,506,537,608,642.35,1127,1195,1269,1347,1421,1508,1596,1676,1763,1844,2074,2142.1,2227,2326,2443,2499,2687,2762.5,6421,6631,6859,7080,7531,7790,8103,8306.95,34257.141,35192.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Antimony,Sb,,1.0474010,8.60839,16.63,25.3,44.2,56,108,117,139,162,185,214,238,265,292,317,420,447,479,510,552,584,657,693.26,1214,1285,1360,1441,1518,1606,1698,1781,1869,1954,2190,2266,2349,2428,2567,2654,2815,2900,6714,6929,7167,7390,7887,8140,8455,8669.48,35710.03,36668.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Tellurium,Te,,1.9708760,9.0096,18.6,27.96,37.41,58.75,70.7,137,143,167,191.1,215,245,272,299,328,354,461,491,522,555,599,633,709,746.12,1304,1377,1455,1538,1618,1707,1803,1889,1979,2066,2309,2386,2472,2552,2700,2788,2954,3041,7022,7243,7485,7714,8240,8499,8821,9040.83,37196.52,38177.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Iodine,I,,3.0590463,10.45126,19.1313,33,40.36,51.517,74.37,87.61,150.81,171,197,220.9,247,279,307,335,365,393,505,535,569,601,649,683,762,800.76,1397,1472,1553,1639,1720,1812,1911,1999,2093,2181,2431,2510,2598,2680,2836,2930,3096,3185.5,7337,7600,7800,8044,8601,8867,9196,9421.1,38716.994,39721.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Xenon,Xe,,0.0000000,12.12984,20.975,32.123,42.2,54.14,66.703,91.6,105.9778,179.84,202,229.02,255,281,314,343,374,404,430,549,582,616,650,700,736,818,857.03,1493,1571,1653,1742,1826,1919,2023,2113,2209,2300,2556,2637,2726,2811,2975,3068,3243,3333.8,7660,7889,8144,8382,8971,9243,9581,9810.4,40271.722,41299.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Cesium,Cs,,0.4716400,3.893905,23.15744,33.195,43,56,69.1,82.9,110.09,125.61,213.3,233,261,289,316,352,382,413,445,476,597,629,666,700,753,791,875,916.07,1592,1672,1757,1848,1936,2029,2137,2230,2329,2422,2683,2767,2859,2945,3118,3214,3392,3485,7989,8224,8484,8726,9350,9629,9974,10208.78,41861.073,42912.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Barium,Ba,,0.1446200,5.211664,10.00383,35.84,47.03,58,71,86,101,130.53,146.52,241,267.1,296,325,354,390,422,455,488,520,646,679,717,752,809,846,935,976.6,1695,1776,1864,1958,2047,2142,2256,2349,2452,2547,2814,2901,2994,3081,3266,3363,3550,3640,8326,8565,8831,9077,9739,10023,10376,10616.42,43485.364,44561.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Lanthanum,La,,0.4700000,5.5769,11.059,19.1773,49.95,61.6,74,88,105,119,151.42,168.77,275,303,332,364,393,431,464,498,533,566,696,731,770,806,865,906,995,1039.09,1800,1884,1974,2069,2162,2259,2377,2473,2577,2674,2950,3036,3133,3222,3416,3515,3704,3800,8669,8914,9184,9437,10136,10426,10789,11033.4,45144.994,46245.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Cerium,Ce,,0.6280000,5.5387,10.85,20.198,36.758,65.55,77.6,91,106,125,140,172,192.24,312,340,371,403,435,472,509,543,579,613,749,785,824,862,924,965,1060,1103.53,1908,1994,2087,2185,2280,2378,2500,2600,2706,2806,3087,3176,3274,3366,3570,3672,3865,3963,9020,9269,9545,9803,10542,10840,11210,11459.85,46840.304,47965.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
